图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,圣女果-预测置信度,山竹-预测置信度,杨梅-预测置信度,柚子-预测置信度,柠檬-预测置信度,桂圆-预测置信度,梨-预测置信度,椰子-预测置信度,榴莲-预测置信度,火龙果-预测置信度,猕猴桃-预测置信度,石榴-预测置信度,砂糖橘-预测置信度,胡萝卜-预测置信度,脐橙-预测置信度,芒果-预测置信度,苦瓜-预测置信度,苹果-红-预测置信度,苹果-青-预测置信度,草莓-预测置信度,荔枝-预测置信度,菠萝-预测置信度,葡萄-白-预测置信度,葡萄-红-预测置信度,西瓜-预测置信度,西红柿-预测置信度,车厘子-预测置信度,香蕉-预测置信度,黄瓜-预测置信度
../../dataset/fruit30_split\val\圣女果\150.jpg,0,圣女果,26,车厘子,25,西红柿,0,圣女果,True,0.14139429,2.9673412e-05,0.0004253509,0.0022717356,1.198856e-05,9.119681e-05,6.250068e-06,0.00065092277,9.268588e-05,4.866268e-06,1.4345664e-05,0.0012305719,0.00021105119,2.9233437e-05,3.0785013e-05,7.268313e-05,0.00065637036,0.00011477499,4.8281768e-06,0.0033570924,0.00040888376,2.3199982e-06,2.9046936e-07,0.00024610484,0.008106982,0.20103738,0.63928354,0.00013124615,8.2588165e-05
../../dataset/fruit30_split\val\圣女果\153.jpg,0,圣女果,11,石榴,23,葡萄-红,26,车厘子,False,0.033291284,0.00015400237,0.0047045513,0.00022810682,7.924112e-05,3.047196e-05,1.3201942e-05,0.00016259098,1.8976307e-05,0.00023504322,2.0427959e-05,0.667584,5.1316623e-05,2.316032e-05,1.3623719e-05,1.6761393e-05,0.0010924246,0.0019106219,1.22476795e-05,0.0059695975,0.000753363,0.0011278905,0.0002685092,0.15424988,0.001900554,0.013104558,0.11289909,2.5029814e-05,5.94167e-05
../../dataset/fruit30_split\val\圣女果\162.jpg,0,圣女果,0,圣女果,25,西红柿,3,柚子,True,0.7777222,5.61775e-05,0.00012322245,0.018305289,0.00027262498,2.3883635e-05,6.0239607e-05,0.00015592886,1.0312639e-06,1.5757187e-06,1.4883057e-05,0.00104503,0.0073832427,0.00017105897,0.003396471,0.0001902123,2.9645205e-06,0.0013171947,6.1377978e-06,0.0014453046,0.00012007757,1.5303773e-05,6.266754e-07,0.00013999331,0.0059564463,0.17847854,0.0035918131,1.1509914e-06,1.2783592e-06
../../dataset/fruit30_split\val\圣女果\167.jpg,0,圣女果,0,圣女果,23,葡萄-红,26,车厘子,True,0.88836956,1.9492269e-05,9.4439e-05,4.7841557e-05,1.9337629e-05,1.7245264e-05,4.0712316e-06,2.35722e-05,8.893803e-06,0.00012458413,1.0004942e-05,0.022878774,0.0013421925,8.525195e-06,3.2117772e-05,4.371567e-05,1.36062135e-05,0.00012061446,1.3358725e-06,0.00031469972,5.3598247e-05,5.2539235e-06,0.00011329448,0.04602098,1.2583523e-05,0.0082330955,0.032060087,5.5687956e-06,9.1832e-07
../../dataset/fruit30_split\val\圣女果\168.jpg,0,圣女果,0,圣女果,25,西红柿,26,车厘子,True,0.5698719,8.264239e-05,0.0009110535,0.00020760976,0.00013159725,3.8169783e-06,0.0011177962,2.7673817e-05,2.1530141e-07,4.5264974e-06,2.5059719e-05,0.016039405,0.00047462812,2.309729e-06,7.40375e-05,0.00019392335,3.5274863e-06,0.0043026074,0.0005726869,8.171979e-05,0.00015302091,2.969413e-06,1.7320739e-05,0.0054096333,0.00014152646,0.34002647,0.060115904,3.1361458e-06,1.2833849e-06
../../dataset/fruit30_split\val\圣女果\177.jpg,0,圣女果,0,圣女果,25,西红柿,26,车厘子,True,0.8263057,3.8153707e-05,0.0051373537,0.007066223,0.0021038868,0.0031451145,7.803762e-06,7.092141e-05,2.7757707e-05,8.8872024e-05,0.00014570722,0.00096390763,0.010755018,0.0061064595,0.0040971856,0.0020534408,0.0035127583,0.00043102863,6.9909154e-05,0.027016249,0.0014782095,0.00050175836,0.00035766,0.0014347342,0.002125686,0.06134511,0.032613117,3.241128e-05,0.00096788007
../../dataset/fruit30_split\val\圣女果\182.jpg,0,圣女果,0,圣女果,3,柚子,17,苹果-红,True,0.2541162,0.00067036215,0.0011940894,0.24879363,0.09362525,0.0006766051,0.00043746235,0.0006533062,0.0037171643,0.0007721018,0.0027495306,0.008240967,0.022517823,0.000387159,0.018503465,0.0077058184,0.0013348141,0.20097756,0.00028496882,0.008732294,0.0039294376,0.0015737902,0.0007143846,0.009325059,0.014932358,0.090167806,0.0031833637,7.397583e-05,9.194477e-06
../../dataset/fruit30_split\val\圣女果\183.jpg,0,圣女果,25,西红柿,0,圣女果,17,苹果-红,True,0.2452381,7.0031996e-07,4.023366e-06,8.075331e-05,4.524565e-05,3.3156482e-07,2.7615847e-06,2.4477067e-06,3.01258e-08,8.738491e-06,2.6157443e-07,0.0019645195,3.94304e-05,1.4000757e-06,5.648766e-06,3.5513007e-05,1.563861e-07,0.0021252797,9.700585e-05,0.00022214986,2.7524282e-05,1.0138232e-06,4.823729e-07,2.0105457e-05,1.887412e-06,0.748476,0.0015965103,1.930028e-07,1.7656014e-06
../../dataset/fruit30_split\val\圣女果\185.jpg,0,圣女果,0,圣女果,25,西红柿,3,柚子,True,0.3971076,0.0031819968,0.017146276,0.09975589,0.015390585,0.004313284,0.06967454,0.008079847,0.0003516898,8.519941e-05,0.029557433,0.03299761,0.007261123,0.00011090606,0.0488887,0.048269663,0.001549312,0.011400813,0.0110773435,0.00022216832,0.016238088,0.0013499197,0.01567354,0.022507383,0.0016289538,0.12962376,0.0046160715,0.001340084,0.0006002894
../../dataset/fruit30_split\val\圣女果\187.jpeg,0,圣女果,0,圣女果,23,葡萄-红,11,石榴,True,0.7546917,2.2585993e-05,9.2009686e-05,2.9003479e-05,4.5969537e-06,4.190135e-06,1.3615402e-05,4.117043e-05,9.563123e-07,0.00058883475,2.5730662e-06,0.07980108,0.00035174645,9.200244e-06,2.2743998e-05,3.6602378e-05,8.896626e-06,0.0024243623,5.6329634e-05,0.0001225357,0.0001484966,5.905936e-07,3.205332e-05,0.09463246,3.528035e-05,0.06445818,0.0023638248,8.154133e-07,3.6011359e-06
../../dataset/fruit30_split\val\圣女果\188.jpg,0,圣女果,23,葡萄-红,26,车厘子,0,圣女果,True,0.19616112,0.052815646,0.00037709522,0.0025366738,0.00038018095,0.012983398,9.915598e-05,0.0008067154,0.00011077147,6.6178072e-06,0.0013727953,0.008309697,0.012787949,0.00019426466,0.00027029353,0.00085025316,0.00035073012,0.03305986,1.9088397e-05,0.0141619295,0.007009526,0.00019123436,0.0007597889,0.309612,0.00071732485,0.047241256,0.29640988,0.0002560959,0.00014860496
../../dataset/fruit30_split\val\圣女果\197.jpg,0,圣女果,0,圣女果,25,西红柿,26,车厘子,True,0.6493081,0.00010531844,0.00020790106,0.0013753023,0.00026022302,0.00019334223,0.00086911046,5.339366e-05,1.7900104e-06,9.312575e-06,0.00029587824,0.001354265,0.001293219,2.7207843e-05,0.00020284734,0.00023558355,5.213559e-06,0.000472723,0.0006039339,0.0021478292,0.0002836,1.9646608e-05,1.6413891e-06,0.006208881,0.00023914195,0.29686016,0.037346687,2.7859714e-06,1.4977971e-05
../../dataset/fruit30_split\val\圣女果\28.jpg,0,圣女果,0,圣女果,12,砂糖橘,25,西红柿,True,0.95916945,0.00015362693,2.4909418e-06,0.00019983696,0.0013682417,0.0003865104,3.264826e-05,0.00040155766,6.322728e-06,1.9189314e-05,0.00014416095,0.0028099099,0.013854717,0.0004950762,0.00069141743,0.00013779856,4.678757e-05,3.142526e-05,2.834126e-05,2.0458423e-05,0.00013798372,4.764342e-06,0.00038858256,0.0059761917,3.364231e-05,0.013224368,0.0002049415,1.9517302e-05,1.0026918e-05
../../dataset/fruit30_split\val\圣女果\29.jpg,0,圣女果,25,西红柿,26,车厘子,24,西瓜,False,0.08447741,0.00031186084,0.012100344,0.008065061,0.00045004298,0.00022506989,0.00027133082,0.00035319192,0.0037905371,0.00068149844,0.00064141885,0.0050897268,0.005528746,0.02777483,0.00041821355,0.05309398,0.014996942,0.031818848,0.00035162512,0.05493689,0.0036680158,0.0010419609,0.00019866195,0.07586151,0.12867025,0.3433065,0.13015726,4.289457e-05,0.011675304
../../dataset/fruit30_split\val\圣女果\3.jpg,0,圣女果,0,圣女果,25,西红柿,15,芒果,True,0.4393253,0.00015878041,0.003514998,0.013601903,0.07653499,0.000110869114,0.021660592,0.0002778213,0.0012303076,0.0005682833,0.020563642,0.0154320225,0.0047997176,0.0012232068,0.05110579,0.07807119,0.00070542394,0.001800828,0.0034551243,0.0020358171,0.00037765104,0.038300823,0.015476842,0.00054294325,0.0025171442,0.19466497,0.0044775847,0.00693882,0.00052662776
../../dataset/fruit30_split\val\圣女果\37.jpg,0,圣女果,0,圣女果,25,西红柿,12,砂糖橘,True,0.8953338,0.00020741453,0.00046064978,0.00011181846,0.00086434797,0.00017615588,2.7782738e-05,0.00018562346,6.46458e-05,3.946773e-05,0.00010133006,0.007929839,0.022278747,0.0007494643,0.00075490854,3.360506e-05,5.8528563e-05,5.3341406e-05,2.0559217e-05,0.0005439975,0.002504044,0.00015066634,7.6170414e-05,0.015186637,9.9079174e-05,0.045233767,0.0066283806,0.00011602623,9.291968e-06
../../dataset/fruit30_split\val\圣女果\46.jpeg,0,圣女果,0,圣女果,23,葡萄-红,26,车厘子,True,0.7479415,8.335343e-06,3.2385246e-06,2.0868965e-06,5.5424704e-07,1.2495326e-07,4.0826242e-07,7.201702e-07,1.9869873e-07,6.617369e-05,4.937743e-07,0.010398314,0.0003696787,8.240893e-07,4.5670708e-07,5.319721e-07,2.8660068e-06,1.33268795e-05,2.7837947e-07,2.5668372e-05,7.687847e-06,1.4675339e-06,7.452166e-05,0.22451018,1.8739925e-06,0.0042478843,0.012319445,3.6016323e-07,7.2143916e-07
../../dataset/fruit30_split\val\圣女果\55.jpg,0,圣女果,0,圣女果,25,西红柿,19,草莓,True,0.8055966,0.00031784768,0.0003974479,0.0054086223,8.7685505e-05,0.00023147573,3.7797105e-05,6.254248e-05,6.124197e-05,0.0002643208,0.0002248033,0.007343894,0.00022574904,0.00024705642,7.721036e-05,0.0003115451,0.006508545,0.000799553,6.245951e-05,0.06447507,0.00010800117,0.00011933397,8.803256e-05,0.0023100248,0.0020829807,0.07738064,0.024960417,4.7802714e-05,0.00016119683
../../dataset/fruit30_split\val\圣女果\58.jpg,0,圣女果,25,西红柿,0,圣女果,14,脐橙,True,0.20583484,0.00015732883,8.809832e-05,0.0008533398,0.00029082072,7.910503e-06,0.00022109109,0.0060231904,3.8592646e-07,1.2225246e-06,0.00021627371,0.00021419626,0.0018825352,6.4403794e-05,0.006411616,0.00021137942,2.6079804e-06,4.730026e-05,0.0026084469,0.00012469233,0.00038858535,4.2372718e-05,2.4229072e-05,6.172091e-06,5.3608033e-05,0.7737674,0.00038359407,1.0954821e-05,6.148911e-05
../../dataset/fruit30_split\val\圣女果\59.jpg,0,圣女果,0,圣女果,12,砂糖橘,14,脐橙,True,0.7267118,0.00010897755,9.3979295e-05,0.0017528699,0.0021130696,0.00022129757,0.000101862286,0.0001301331,2.910325e-06,3.2938306e-07,1.7103657e-05,0.0004769882,0.18745305,4.112338e-06,0.06552054,0.0035313594,4.224682e-07,0.00044790053,4.4555116e-05,3.647357e-05,5.52324e-05,5.7734123e-06,6.657828e-05,0.00013592101,2.6151706e-06,0.009746444,0.0011764886,4.04422e-05,6.316858e-07
../../dataset/fruit30_split\val\圣女果\65.jpg,0,圣女果,0,圣女果,26,车厘子,25,西红柿,True,0.7896837,6.3269613e-06,0.00083736813,0.00017554517,3.70113e-05,1.427138e-06,2.2331562e-05,0.00034065338,1.4019184e-05,2.2638887e-05,1.0388924e-05,0.054902934,0.0008798546,4.870192e-07,0.0004659091,0.0007633327,3.817493e-06,0.00011462347,4.1064708e-05,0.00063574885,1.6582468e-05,2.4024459e-05,1.8491564e-05,0.0008820549,1.0842654e-05,0.06287273,0.08719916,1.6122662e-05,7.5908156e-07
../../dataset/fruit30_split\val\圣女果\71.jpeg,0,圣女果,0,圣女果,26,车厘子,11,石榴,True,0.57386297,9.8952456e-05,0.0007351861,3.1707168e-05,4.334139e-06,4.2687454e-05,4.0345635e-06,9.740757e-05,4.1086882e-06,0.0001110604,5.815606e-07,0.028961638,0.00203643,1.1134408e-06,1.3182316e-05,7.3191245e-06,3.562414e-07,0.0006509873,6.851116e-06,0.00017284826,0.0010370875,1.0607138e-05,1.0887895e-06,0.0176977,1.0855231e-05,0.012952356,0.3614436,2.8329746e-06,4.9279297e-08
../../dataset/fruit30_split\val\圣女果\8.jpg,0,圣女果,25,西红柿,0,圣女果,11,石榴,True,0.46000144,9.0551905e-05,7.863273e-05,0.0020706546,0.00012539211,5.2452124e-05,0.00020142816,4.628261e-05,2.7063545e-06,0.00045083894,8.451779e-05,0.015655736,0.0032758797,0.00019135281,0.00017170038,7.0334296e-05,8.242172e-05,0.0019796179,9.9092525e-05,0.0014096587,0.00010998794,7.946208e-06,1.1862317e-05,0.0035512215,0.00015202891,0.506444,0.0035002467,7.495399e-05,7.1309273e-06
../../dataset/fruit30_split\val\圣女果\80.jpg,0,圣女果,0,圣女果,25,西红柿,26,车厘子,True,0.56897557,0.00017092584,2.9505338e-05,0.0009860165,0.00015620638,4.4090357e-06,1.4726629e-05,4.709987e-05,5.127836e-06,6.625116e-05,3.2791573e-05,0.00045485797,0.0002015061,3.2576067e-05,2.690299e-05,0.0016006763,1.059308e-05,0.0017945782,8.042794e-05,0.0010217804,5.964504e-06,3.6327626e-06,1.3359377e-05,0.0028909447,0.0009534555,0.39864218,0.021721492,7.005927e-06,4.9452497e-05
../../dataset/fruit30_split\val\圣女果\81.jpg,0,圣女果,0,圣女果,25,西红柿,11,石榴,True,0.90845776,5.37075e-06,8.332147e-06,3.2081673e-05,7.3863525e-06,1.1976749e-06,1.3527114e-06,2.2662283e-05,5.769075e-07,7.582851e-05,1.5140895e-06,0.015076957,0.00056998193,1.4854368e-05,0.0001520423,8.355016e-06,1.6357758e-06,0.00015649926,1.5241961e-06,0.0001320654,2.3946966e-05,1.332268e-06,1.4679489e-05,0.002126794,2.5388617e-05,0.0723998,0.0006792788,1.0049578e-07,7.906611e-07
../../dataset/fruit30_split\val\圣女果\82.jpg,0,圣女果,0,圣女果,26,车厘子,11,石榴,True,0.93010134,8.164333e-05,0.0034933626,1.6711458e-05,1.7074735e-05,3.2851076e-05,2.7020136e-05,0.00012445252,6.363709e-05,1.526153e-05,0.0005400228,0.017017506,0.00020857462,0.00091047847,2.0702126e-05,0.00016812654,0.00022166538,3.2827775e-05,6.909171e-05,0.00063704007,0.00046304235,0.00053061795,0.00071125536,0.00841953,5.677868e-05,0.016863117,0.018914336,0.00023343529,8.500722e-06
../../dataset/fruit30_split\val\圣女果\91.jpeg,0,圣女果,0,圣女果,25,西红柿,26,车厘子,True,0.7382332,1.007777e-05,2.8317927e-05,5.5844564e-05,5.8279843e-06,4.331944e-06,1.0713049e-05,8.257693e-05,2.1894984e-07,7.581519e-06,6.472303e-05,0.00040160533,4.014144e-05,1.4866916e-05,1.6858847e-05,3.9261877e-06,9.299362e-06,6.016125e-05,4.0198865e-05,4.1956126e-05,1.9933083e-05,4.3000225e-07,1.5603374e-06,0.00014433655,6.485785e-05,0.25950864,0.0011083328,1.4973862e-05,4.5647976e-06
../../dataset/fruit30_split\val\圣女果\93.jpg,0,圣女果,0,圣女果,26,车厘子,25,西红柿,True,0.64375544,5.191955e-05,0.00038925427,0.0007142759,0.00022434101,1.7709976e-05,5.5728535e-05,0.00014230672,1.0891495e-05,8.453035e-05,0.00017093898,0.0011517724,0.00012358905,8.7460176e-05,9.163174e-06,8.77592e-05,0.0020301868,0.0002309451,0.00054212817,0.0985023,0.0036818,0.00024950135,0.000112991096,0.0027014473,0.0049964297,0.099078394,0.13941705,2.6994036e-05,0.0013527321
../../dataset/fruit30_split\val\山竹\101.jpg,1,山竹,1,山竹,10,猕猴桃,0,圣女果,True,0.00033272628,0.99712294,8.4376666e-07,4.2209565e-05,2.0628173e-05,8.258259e-05,3.987251e-06,0.00024028402,2.9771327e-05,2.6965868e-06,0.0013926056,2.6425836e-05,1.3906889e-06,3.214014e-07,3.9817505e-07,4.2757038e-05,3.0109222e-05,3.998858e-06,7.572584e-05,6.8073394e-05,2.6065041e-05,3.924143e-06,2.1627511e-06,6.585189e-05,9.078162e-05,8.882183e-06,4.6972273e-05,2.645317e-05,0.00020830418
../../dataset/fruit30_split\val\山竹\105.jpg,1,山竹,1,山竹,17,苹果-红,14,脐橙,True,0.0030056038,0.7561804,0.02988834,0.009179525,0.00071885,0.0011866376,0.001053236,0.0032307568,0.0008020158,6.364301e-05,0.006153619,0.006965008,0.015509976,0.000364898,0.042032424,0.016309308,0.0005618651,0.06951464,0.0014522948,0.00536406,0.009270316,0.00022147827,0.01320885,0.0038400944,0.0011914837,0.0004944807,0.0019178959,4.3643155e-05,0.00027478408
../../dataset/fruit30_split\val\山竹\11.png,1,山竹,1,山竹,20,荔枝,23,葡萄-红,True,0.000116691524,0.9819565,2.1969295e-06,5.2184445e-05,7.5788835e-06,0.00079964503,1.1255495e-05,0.0009881749,6.3762195e-06,2.4149108e-06,6.902195e-05,4.2716197e-06,1.9575999e-05,1.6466778e-05,9.1235745e-07,1.2744627e-05,1.525594e-05,7.5079865e-06,5.2320006e-06,4.4761684e-05,0.010369801,5.0169233e-06,8.496706e-05,0.005068989,0.00012008645,4.4751483e-05,8.2275496e-05,4.858638e-06,8.029404e-05
../../dataset/fruit30_split\val\山竹\111.jpeg,1,山竹,1,山竹,23,葡萄-红,10,猕猴桃,True,0.00050992443,0.929259,0.0009219553,0.0019058393,0.00013010483,0.0028254925,0.00022555132,0.0043730936,0.0019600557,0.00017109136,0.010195761,0.0024571258,0.0011075381,0.00027783954,0.00034785568,0.002294112,0.0005169077,0.006466534,0.000282751,0.0037432301,0.00393256,8.694169e-05,0.000192178,0.019912867,0.0023696304,0.00043457397,0.0024918313,0.0002654721,0.0003421723
../../dataset/fruit30_split\val\山竹\116.jpg,1,山竹,13,胡萝卜,7,椰子,17,苹果-红,False,0.002278495,0.014405831,0.0066727065,0.071857385,0.06399402,0.0027545088,0.011282841,0.19297475,0.0039331685,0.007588864,0.0014530934,0.0017744887,0.0008107738,0.1982975,0.0870588,0.018905342,0.0022036887,0.09579984,0.025931163,0.010154581,0.027264992,0.0042140717,0.00028432597,0.00022720493,0.07667429,0.049217336,0.0013618236,0.01353462,0.0070895134
../../dataset/fruit30_split\val\山竹\119.jpg,1,山竹,6,梨,10,猕猴桃,7,椰子,False,0.00071196724,0.14944959,0.00068698666,0.06739331,0.0061791823,0.002093628,0.2616032,0.16529764,0.0022695102,0.0041884603,0.21737757,0.008352548,0.001006011,0.0008047788,0.00072934886,0.019338058,0.00040356908,0.010650259,0.013860863,0.006758744,0.00039207315,0.00012355969,8.982466e-05,0.00037777546,0.039213825,0.0012669935,0.0048021176,0.008630055,0.005948523
../../dataset/fruit30_split\val\山竹\13.jpg,1,山竹,1,山竹,7,椰子,20,荔枝,True,6.3973393e-06,0.9995869,2.282813e-06,8.443055e-06,6.427859e-07,2.2127819e-05,1.79454e-06,0.00010732953,6.029797e-06,1.7737126e-06,3.48285e-06,9.736672e-06,1.8348e-05,1.5232439e-05,1.8155048e-06,2.631257e-05,3.695721e-07,3.126534e-05,3.2506313e-07,5.2824003e-06,7.0926486e-05,1.2354071e-06,7.2867233e-06,6.797935e-06,7.688522e-08,1.7768666e-06,5.4724696e-05,1.1250172e-06,3.2325525e-07
../../dataset/fruit30_split\val\山竹\132.jpg,1,山竹,1,山竹,26,车厘子,23,葡萄-红,True,0.00015510936,0.9970197,1.3349455e-05,9.451545e-05,2.0490959e-06,3.2593482e-06,3.859624e-06,1.7962953e-05,1.307709e-05,2.1417129e-05,6.683014e-05,2.8231596e-05,1.4596543e-06,2.349355e-05,3.161665e-07,8.490561e-06,4.8793874e-05,8.355306e-05,4.507016e-06,0.00025938128,0.0001295205,6.9980406e-06,7.808784e-06,0.0006762375,0.0002759325,0.00020056932,0.0008066738,1.6379696e-05,1.0411727e-05
../../dataset/fruit30_split\val\山竹\14.jpeg,1,山竹,1,山竹,20,荔枝,11,石榴,True,7.336879e-05,0.99493176,2.7064229e-05,7.533041e-05,5.0233444e-07,1.1480383e-06,3.964014e-06,0.00016943122,2.5828732e-07,7.141451e-07,3.8165276e-06,0.00026345285,1.2909261e-07,1.6463861e-08,6.571071e-08,5.389468e-07,1.9914673e-07,6.8901325e-05,1.0613368e-06,4.5716315e-05,0.004056604,1.950995e-06,2.2069405e-07,2.4753292e-05,3.0134206e-06,0.00013322636,0.00011267248,5.935019e-08,6.9936284e-08
../../dataset/fruit30_split\val\山竹\143.jpg,1,山竹,1,山竹,10,猕猴桃,26,车厘子,True,0.00020600202,0.9442324,0.0007836289,0.001256357,0.0001718564,0.00035674978,0.0006425664,0.0032417001,0.00013035352,0.00016824061,0.026410962,0.00030141696,4.0667008e-05,0.0001517581,3.024188e-05,0.001166983,8.7725035e-05,0.001781684,6.986316e-05,0.00012786627,0.00038144068,1.8406781e-05,7.074779e-05,0.000970561,0.0011485888,0.00011325375,0.015159531,0.00064065005,0.00013770911
